time,value
1545063226,4259306.860804
1545063236,4261060.151852
1545063247,4264048.770518
1545063257,4219905.775401
1545063268,4159745.541120
1545063278,4195336.419448
1545063289,4232180.452219
1545063300,4042792.513876
1545063311,4143727.887475
1545063321,4236767.934104
1545063332,4183288.012157
1545063342,4100512.120265
1545063353,4083958.346651
1545063364,4181939.458147
1545063375,4206053.854260
1545063385,4167522.676130
1545063396,4236807.044741
1545063407,4218087.277644
1545063417,4206261.744213
1545063428,4225209.583917
1545063438,4208888.492050
1545063449,4216399.195839
1545063459,4217893.182471
1545063470,4225707.734273
1545063481,4145198.995035
1545063491,4224569.367629
1545063502,4196958.178406
1545063512,4103364.239517
1545063523,4229375.076149
1545063534,4231017.210446
1545063544,4227397.457114
1545063555,4215630.608406
1545063565,4208440.918851
1545063576,4238278.338432
1545063587,4231987.366435
1545063597,4105039.049902
1545063608,4149158.849076
1545063619,4222563.972240
1545063629,4223496.289273
1545063640,4213423.370255
1545063650,4243885.465012
1545063661,4200838.689650
1545063671,4228764.774972
1545063682,4223922.346665
1545063692,4151982.850238
1545063703,4194293.961927
1545063714,4199975.056129
1545063724,4205899.183361
