time,value
1545064290,6018
1545064316,5609
1545064341,4854
1545064367,5415
1545064392,6705
1545064417,7789
1545064443,5170
1545064468,4780
1545064494,6950
1545064519,5494
1545064545,5120
1545064570,183976
1545064594,6510
1545064619,7213
1545064644,4978
1545064670,5966
1545064695,5575
1545064721,6511
1545064749,276375
1545064771,5808
1545064797,4853
1545064822,6060
1545064848,6563
1545064874,4637
1545064899,5010
1545064925,8625
1545064951,207634
1545064974,5979
1545065001,4870
1545065026,64072
1545065051,5654
1545065077,5959
1545065103,4418
1545065128,83347
1545065153,6507
1545065179,4665
1545065205,5392
1545065230,289211
1545065252,4870
1545065277,7125
1545065303,4787
1545065328,4694
1545065353,4757
1545065378,4772
1545065404,11297
1545065429,4550
1545065456,7347
1545065483,242030
