time,value
1545065538,13.256
1545065557,13.206
1545065575,13.157
1545065593,12.816
1545065611,12.795
1545065629,12.947
1545065647,12.910
1545065665,12.736
1545065682,12.668
1545065700,12.717
1545065718,12.826
1545065735,12.672
1545065753,12.672
1545065771,12.858
1545065789,12.710
1545065806,12.781
1545065824,12.712
1545065842,12.646
1545065860,12.557
1545065877,12.912
1545065895,12.630
1545065913,12.559
1545065930,12.573
1545065948,12.687
1545065966,12.607
1545065983,12.533
1545066001,12.588
1545066018,12.692
1545066036,12.639
1545066054,12.727
1545066071,12.692
1545066089,12.594
1545066107,12.577
1545066124,12.709
1545066142,12.715
1545066160,12.643
1545066177,12.550
1545066195,12.608
1545066213,12.639
1545066230,12.685
1545066248,12.665
1545066266,12.593
1545066283,12.702
1545066301,12.644
1545066319,13.335
1545066337,12.921
1545066355,12.887
1545066373,12.867
