time,value
1545063751,0.533516
1545063761,0.532790
1545063772,0.534576
1545063782,0.535507
1545063792,0.534611
1545063802,0.544594
1545063812,0.534289
1545063823,0.533540
1545063833,0.533483
1545063843,0.531850
1545063853,0.533528
1545063863,0.531691
1545063873,0.534095
1545063883,0.533743
1545063894,0.550136
1545063904,0.534549
1545063914,0.535329
1545063924,0.533978
1545063935,0.551228
1545063945,0.533015
1545063955,0.533689
1545063965,0.533709
1545063975,0.554094
1545063986,0.533932
1545063996,0.534036
1545064006,0.533511
1545064016,0.533401
1545064027,0.531812
1545064037,0.534069
1545064047,0.531744
1545064057,0.534894
1545064067,0.535147
1545064077,0.533751
1545064087,0.533985
1545064098,0.534632
1545064108,0.532528
1545064118,0.533827
1545064128,0.532924
1545064138,0.534684
1545064148,0.532872
1545064158,0.533724
1545064169,0.533901
1545064179,0.533861
1545064189,0.535593
1545064199,0.552761
1545064210,0.534650
1545064220,0.532164
1545064230,0.550908
