time,value
1545066591,1.665
1545066598,1.667
1545066605,1.638
1545066611,1.639
1545066618,1.626
1545066624,1.662
1545066631,1.640
1545066638,1.693
1545066644,1.652
1545066651,1.662
1545066658,1.651
1545066664,1.662
1545066671,1.667
1545066678,1.652
1545066684,1.656
1545066691,1.715
1545066698,1.674
1545066705,1.656
1545066711,1.661
1545066718,1.648
1545066725,1.652
1545066731,1.679
1545066738,1.655
1545066745,1.640
1545066751,1.675
1545066758,1.645
1545066765,1.655
1545066771,1.670
1545066778,1.693
1545066785,1.632
1545066791,1.695
1545066798,1.634
1545066805,1.642
1545066811,1.639
1545066818,1.625
1545066824,1.657
1545066831,1.668
1545066838,1.659
1545066845,1.619
1545066851,1.668
1545066858,1.611
1545066864,1.648
1545066871,1.642
1545066878,1.630
1545066884,1.663
1545066891,1.676
1545066898,1.644
1545066904,1.650
