time,value
1545080203,4405962.492109
1545080213,4428654.595993
1545080223,4410857.387657
1545080233,4392819.154840
1545080243,4239870.156688
1545080254,4407320.083641
1545080264,4409192.137387
1545080274,4401271.237709
1545080284,4422119.533580
1545080294,4435876.113264
1545080304,4405799.154736
1545080314,4421290.091453
1545080325,4414052.940351
1545080335,4417171.223673
1545080345,4416462.966711
1545080355,4418501.257686
1545080365,4417327.084427
1545080375,4405424.207634
1545080385,4416269.893382
1545080395,4422481.003724
1545080405,4418292.084783
1545080415,4432962.707374
1545080425,4412029.592215
1545080436,4395848.892661
1545080446,4395217.191098
1545080456,4402122.534045
1545080466,4410458.856558
1545080476,4414523.972379
1545080486,4420201.808693
1545080496,4415537.987516
1545080506,4414565.341166
1545080516,4417591.638069
1545080526,4414267.479057
1545080537,4410603.300889
1545080547,4431303.516420
1545080557,4412001.893754
1545080567,4412039.102560
1545080577,4435230.560673
1545080587,4378558.239822
1545080597,4377912.601072
1545080607,4374414.641906
1545080618,4429187.040248
1545080628,4385909.454741
1545080638,4416306.296743
1545080648,4414636.875317
1545080658,4414594.484852
1545080668,4425541.821903
1545080678,4399843.377522
