time,value
1545081184,101613
1545081210,99337
1545081236,101346
1545081262,95028
1545081289,95555
1545081315,94809
1545081341,104893
1545081369,100490
1545081396,97770
1545081424,80233
1545081451,98626
1545081477,97022
1545081503,98354
1545081528,98698
1545081554,104302
1545081580,102295
1545081607,96859
1545081634,99395
1545081661,95621
1545081688,98893
1545081714,102396
1545081741,101276
1545081769,93180
1545081796,97824
1545081822,103747
1545081848,103922
1545081874,109103
1545081902,97978
1545081928,105169
1545081955,97548
1545081981,99805
1545082007,99070
1545082033,97649
1545082060,98339
1545082088,98027
1545082117,97649
1545082145,75498
1545082171,98071
1545082198,93648
1545082224,99623
1545082252,98346
1545082278,99483
1545082304,101808
1545082330,98741
1545082356,94903
1545082381,97447
1545082411,101121
1545082438,102092
