time,value
1545082464,15.914
1545082485,15.714
1545082506,15.703
1545082527,15.674
1545082548,15.658
1545082568,15.955
1545082589,15.844
1545082610,15.805
1545082631,15.866
1545082652,15.516
1545082672,15.834
1545082693,16.234
1545082714,15.981
1545082735,15.940
1545082756,15.957
1545082777,15.876
1545082798,15.899
1545082819,15.918
1545082840,15.516
1545082860,15.908
1545082881,15.899
1545082902,15.996
1545082923,15.945
1545082944,16.169
1545082965,16.001
1545082986,15.994
1545083007,15.649
1545083028,15.713
1545083049,15.639
1545083070,15.696
1545083090,15.621
1545083111,15.604
1545083131,15.745
1545083152,15.649
1545083173,15.646
1545083194,15.624
1545083214,15.656
1545083235,15.828
1545083256,15.637
1545083276,15.649
1545083297,15.613
1545083318,15.786
1545083338,16.001
1545083359,16.051
1545083381,16.198
1545083402,16.418
1545083423,16.295
1545083444,16.512
