time,value
1545080688,0.808492
1545080699,0.804149
1545080709,0.805568
1545080720,0.805328
1545080730,0.804910
1545080741,0.805336
1545080751,0.805960
1545080762,0.804818
1545080772,0.806152
1545080783,0.805940
1545080793,0.809602
1545080804,0.807071
1545080814,0.805111
1545080825,0.805415
1545080835,0.805223
1545080845,0.804932
1545080856,0.805288
1545080866,0.804450
1545080877,0.804041
1545080887,0.804545
1545080898,0.804515
1545080908,0.805336
1545080919,0.803265
1545080929,0.818382
1545080940,0.834232
1545080950,0.833259
1545080961,0.837005
1545080971,0.842656
1545080981,0.847495
1545080991,0.845670
1545081001,0.842582
1545081011,0.847095
1545081021,0.846563
1545081032,0.838957
1545081042,0.838025
1545081052,0.835171
1545081062,0.842169
1545081072,0.837590
1545081082,0.842295
1545081092,0.845038
1545081102,0.847363
1545081112,0.845631
1545081123,0.848364
1545081133,0.841602
1545081143,0.845841
1545081153,0.845488
1545081163,0.849375
1545081173,0.850692
