time,value
1545083485,18.374
1545083509,18.452
1545083532,18.494
1545083556,18.651
1545083579,18.915
1545083603,18.541
1545083627,18.960
1545083651,18.668
1545083675,18.468
1545083698,18.733
1545083722,18.432
1545083745,18.429
1545083769,18.453
1545083792,20.859
1545083818,19.546
1545083843,22.632
1545083870,18.477
1545083894,18.649
1545083917,18.487
1545083941,32.079
1545083978,18.487
1545084001,18.886
1545084025,18.331
1545084049,19.014
1545084073,18.566
1545084096,18.618
1545084120,24.616
1545084150,20.009
1545084175,18.627
1545084198,18.261
1545084222,21.188
1545084248,18.475
1545084271,18.564
1545084295,18.529
1545084318,18.740
1545084342,25.072
1545084372,18.550
1545084396,19.009
1545084420,21.245
1545084446,18.528
1545084470,18.681
1545084493,19.609
1545084518,18.462
1545084541,18.537
1545084565,18.692
1545084589,21.332
1545084615,18.357
1545084638,18.524
