time,value
1544876234,4428898.366067
1544876244,4420800.433906
1544876254,4437774.073429
1544876264,4411914.680511
1544876274,4418705.878365
1544876284,4433180.013992
1544876294,4423931.016444
1544876304,4407481.704646
1544876314,4410336.502161
1544876325,4400718.324237
1544876335,4413964.719310
1544876345,4412923.293974
1544876355,4405305.364187
1544876365,4431085.407066
1544876375,4428755.139260
1544876385,4420594.530622
1544876395,4419137.838239
1544876406,4421779.349026
1544876416,4435182.402691
1544876426,4434911.167250
1544876436,4337903.345918
1544876446,4444655.859702
1544876456,4430140.255024
1544876466,4364709.540562
1544876476,4310708.190724
1544876487,4125702.656421
1544876498,4285394.121379
1544876508,4417238.742037
1544876518,4391405.749632
1544876528,4407386.151586
1544876538,4438267.994755
1544876548,4438250.781714
1544876558,4450855.189721
1544876569,4397361.577744
1544876579,4353268.691712
1544876589,4388725.647379
1544876599,4436427.977493
1544876609,4425995.861399
1544876619,4403033.646273
1544876629,4380650.980104
1544876640,4406374.798183
1544876650,4446886.761506
1544876660,4446883.319576
1544876670,4438024.431704
1544876680,4401524.563111
1544876690,4434806.520134
1544876700,4399117.199748
1544876710,4363974.329215
