time,value
1545056011,51340
1545056036,52867
1545056061,7307
1545056086,6250
1545056112,5966
1545056137,9417
1545056163,5030
1545056188,5121
1545056213,6900
1545056239,4533
1545056264,5295
1545056289,6826
1545056314,5701
1545056340,7861
1545056365,6441
1545056390,4918
1545056415,5064
1545056441,5267
1545056466,5787
1545056491,5971
1545056517,9491
1545056542,174587
1545056567,6121
1545056592,88694
1545056617,197147
1545056641,245692
1545056663,4622
1545056688,5288
1545056713,5930
1545056739,5085
1545056764,5016
1545056789,171404
1545056814,7460
1545056839,5470
1545056865,6315
1545056890,4615
1545056916,6877
1545056941,4758
1545056967,5251
1545056992,6688
1545057018,5026
1545057043,22896
1545057068,27200
1545057093,5303
1545057119,5190
1545057144,6356
1545057170,5288
1545057195,55330
