time,value
1545057220,11.564
1545057237,11.531
1545057253,11.496
1545057270,11.531
1545057287,11.528
1545057303,11.511
1545057320,11.591
1545057336,11.507
1545057353,11.572
1545057369,11.502
1545057386,11.576
1545057402,11.535
1545057419,11.612
1545057436,11.525
1545057452,11.523
1545057469,11.515
1545057485,11.496
1545057502,11.538
1545057518,11.555
1545057535,11.503
1545057551,11.530
1545057568,11.503
1545057584,11.543
1545057601,11.562
1545057617,11.577
1545057634,11.502
1545057651,11.505
1545057667,11.506
1545057684,11.523
1545057700,11.547
1545057717,11.510
1545057733,11.516
1545057750,11.582
1545057766,11.505
1545057783,11.642
1545057799,11.536
1545057816,11.481
1545057832,11.526
1545057849,11.558
1545057866,11.530
1545057882,11.511
1545057899,11.526
1545057915,11.493
1545057932,11.601
1545057948,11.587
1545057965,11.566
1545057981,11.564
1545057998,11.547
