time,value
1545055522,0.533949
1545055532,0.535640
1545055542,0.536546
1545055553,0.535256
1545055563,0.535169
1545055573,0.535584
1545055583,0.536435
1545055593,0.535832
1545055604,0.535389
1545055614,0.535477
1545055624,0.535811
1545055634,0.536622
1545055644,0.533538
1545055655,0.533683
1545055665,0.535337
1545055675,0.536980
1545055685,0.532658
1545055695,0.532641
1545055705,0.533763
1545055715,0.534545
1545055726,0.535333
1545055736,0.534342
1545055746,0.536515
1545055756,0.534644
1545055766,0.536621
1545055777,0.535531
1545055787,0.534722
1545055797,0.531995
1545055807,0.535914
1545055817,0.534754
1545055827,0.536494
1545055838,0.536040
1545055848,0.536432
1545055858,0.535324
1545055868,0.535738
1545055878,0.534736
1545055888,0.536113
1545055899,0.535076
1545055909,0.534661
1545055919,0.535977
1545055929,0.536128
1545055939,0.534718
1545055950,0.533690
1545055960,0.536472
1545055970,0.533963
1545055980,0.536643
1545055990,0.537670
1545056001,0.536313
