time,value
1545062012,0.980
1545062018,0.970
1545062024,0.996
1545062030,0.978
1545062036,0.966
1545062042,0.967
1545062048,0.964
1545062054,0.972
1545062060,0.958
1545062066,0.971
1545062072,0.963
1545062078,0.975
1545062084,0.971
1545062090,0.972
1545062096,1.003
1545062102,0.993
1545062108,0.979
1545062114,0.960
1545062120,0.967
1545062126,0.978
1545062132,0.971
1545062138,0.979
1545062144,0.971
1545062150,0.971
1545062156,1.030
1545062162,0.989
1545062168,0.960
1545062174,0.956
1545062180,0.960
1545062186,0.978
1545062192,0.981
1545062198,0.977
1545062204,0.963
1545062210,0.993
1545062216,0.995
1545062222,0.965
1545062228,0.980
1545062234,0.959
1545062240,0.996
1545062246,0.987
1545062252,0.966
1545062258,0.959
1545062264,0.951
1545062270,0.968
1545062276,0.952
1545062282,0.971
1545062288,0.985
1545062294,1.013
