time,value
1545147793,60867.427242
1545147971,62021.176510
1545148146,61832.103750
1545148321,62285.917674
1545148495,62147.064635
1545148670,54298.162291
1545148869,62459.356163
1545149042,62536.290747
1545149216,62216.933319
1545149390,62323.779885
1545149564,61949.760484
1545149739,62418.675593
1545149913,62253.395589
1545150087,62724.317812
1545150260,62396.040317
1545150433,61799.402759
1545150609,61296.890367
1545150786,61613.083189
1545150962,60957.132527
1545151139,61086.655354
1545151317,60192.570865
1545151497,60785.834671
1545151675,60832.375141
1545151854,60068.743632
1545152034,60631.442078
1545152213,61715.449632
1545152388,61569.615208
1545152565,60590.141047
1545152744,61776.073749
1545152919,62286.355860
1545153093,62151.621286
1545153268,62368.085841
1545153441,60908.910223
1545153619,60402.787976
1545153799,61751.702993
1545153974,61991.308450
1545154149,62039.374579
1545154324,61846.479041
1545154499,62070.412760
1545154674,62180.999804
1545154848,62243.025169
1545155022,62379.022685
1545155196,61835.508270
1545155372,62192.539040
1545155546,62202.675938
1545155720,61907.248837
1545155895,62358.950575
1545156069,62489.656314
