time,value
1545157828,23833
1545157856,24849
1545157883,24665
1545157911,28748
1545157939,20941
1545157968,22342
1545157996,24436
1545158024,25337
1545158052,23713
1545158080,22649
1545158108,22777
1545158136,25058
1545158163,20050
1545158192,23132
1545158224,24684
1545158252,29029
1545158279,25827
1545158307,23856
1545158334,28560
1545158361,23620
1545158389,23379
1545158419,27084
1545158446,25890
1545158473,31965
1545158501,23913
1545158531,31322
1545158558,28459
1545158585,27820
1545158613,23449
1545158640,26512
1545158667,23364
1545158698,24659
1545158727,26348
1545158754,26759
1545158781,26600
1545158808,25066
1545158838,27591
1545158865,26116
1545158893,24275
1545158921,32174
1545158948,28385
1545158975,27914
1545159002,27136
1545159029,24506
1545159056,29775
1545159085,26082
1545159113,29402
1545159141,25182
