time,value
1545214008,860.869
1545214874,869.378
1545215748,844.24
1545216598,845.879
1545217449,854.099
1545218308,849.508
1545219163,846.444
1545220015,859.797
1545220879,839.469
1545221724,845.988
1545222575,846.73
1545223427,845.701
1545224278,841.654
1545225125,855.847
1545225986,845.572
1545226837,845.02
1545227687,841.206
1545228534,848.536
1545229387,838.527
1545230231,833.108
1545231069,836.748
1545231911,839.017
1545232755,838.666
1545233599,852.461
1545234457,856.985
1545235319,837.895
1545236162,850.16
1545237018,879.556
1545237902,865.014
1545238773,873.739
1545239652,882.433
1545240539,865.192
1545241410,848.723
1545242264,854.207
1545243123,862.193
1545243990,849.342
1545244845,853.447
1545245704,853.997
1545246563,862.978
1545247431,865.277
1545248302,864.035
1545249171,864.372
1545250040,852.832
1545250898,857.287
1545251761,853.812
1545252620,843.012
1545253468,846.723
1545254320,846.006
