time,value
1545156243,32.808109
1545156276,32.729820
1545156308,32.788795
1545156341,32.861805
1545156374,33.076641
1545156407,32.975578
1545156441,32.800697
1545156474,32.879303
1545156507,33.861969
1545156540,33.466774
1545156574,32.957657
1545156607,32.693260
1545156640,33.116798
1545156673,32.875595
1545156706,33.395294
1545156740,33.099140
1545156773,32.866589
1545156806,32.886707
1545156839,32.863091
1545156872,32.750191
1545156905,32.734753
1545156938,32.850887
1545156971,32.801750
1545157004,32.990902
1545157037,32.961578
1545157070,32.766609
1545157103,32.786785
1545157136,32.807590
1545157169,32.877869
1545157202,32.920135
1545157235,32.866924
1545157268,32.995903
1545157301,32.854988
1545157334,32.874947
1545157367,32.876976
1545157400,32.855564
1545157433,32.720562
1545157465,32.678303
1545157498,32.592834
1545157531,32.714245
1545157564,32.680168
1545157597,32.804871
1545157630,33.004662
1545157663,32.889656
1545157696,32.834892
1545157729,32.796974
1545157762,32.809521
1545157794,32.928825
