time,value
1545159484,4.913
1545159554,4.024
1545159623,4.544
1545159693,3.863
1545159762,1.379
1545159828,6.832
1545159900,1.727
1545159967,6.937
1545160039,5.084
1545160109,3.373
1545160177,5.100
1545160247,6.058
1545160318,5.762
1545160389,2.961
1545160457,5.783
1545160528,5.534
1545160598,7.988
1545160671,6.180
1545160743,5.275
1545160813,6.979
1545160885,4.442
1545160954,5.521
1545161025,6.677
1545161097,7.510
1545161169,3.387
1545161237,5.818
1545161308,6.897
1545161380,6.261
1545161451,2.325
1545161519,3.351
1545161587,6.121
1545161658,5.664
1545161729,3.084
1545161797,8.002
1545161870,7.305
1545161942,2.905
1545162010,5.502
1545162081,5.600
1545162151,5.831
1545162222,2.876
1545162290,6.254
1545162361,4.475
1545162431,8.620
1545162504,7.544
1545162577,6.288
1545162648,4.973
1545162718,8.148
1545162791,6.294
